,lat,lon,alt
CEL4,51.6314,-111.9003,2738
CHD2,52.6689,-111.3006,2075
CEA5,52.6467,-111.3833,2324
CTS6,52.2803,-114.4178,3192
CFB3,52.3,-114.4511,3175
CYOJ,58.6217,-117.1514,1109
CZHP,55.3936,-116.4675,1975
CHR2,50.5761,-113.8678,3407
CEN4,50.5333,-113.8339,3447
CHS3,49.3367,-113.5672,3700
CEE4,53.3814,-117.7,3450
CEC4,53.3192,-117.7503,4006
CGF5,53.3453,-114.1506,2390
CFY4,50.9,-113.7833,3370
CSF2,52.0194,-113.9503,3107
CEM4,52.0786,-114.0175,3017
CFU8,52.9122,-111.1672,2230
CEP5,55.9,-110.7333,1575
CYJA,52.9967,-118.0508,3350
CFF3,57.4833,-113.8833,2370
CFG5,58.4914,-115.1336,950
CFL9,57.5667,-110.3167,2000
CFE7,50.9228,-115.1342,5027
CKH5,52.7875,-111.8508,2222
CEK6,52.7956,-111.7508,2181
CRL4,55.3556,-110.6336,2260
CFN5,58.1731,-116.3333,1048
CYLB,54.7703,-112.0181,1884
CMH3,52.3789,-113.8172,2889
CEG3,52.4883,-113.7011,2783
CLM4,53.7636,-112.7503,2124
CWP3,52.3592,-114.5669,3130
CLH4,49.6858,-112.8167,3037
CGN3,49.6361,-112.6839,3058
CLJ3,49.7417,-112.7339,2910
CMF3,49.5547,-112.5511,3085
CTF6,49.7161,-112.75,2980
CYQL,49.6303,-112.7847,3049
CYLL,53.3106,-110.0672,2194
CFS6,57.1419,-115.0675,1550
CFX4,56.9508,-117.6342,1612
CFV6,58.95,-115.25,2750
CSF5,52.1992,-114.2336,2995
CMC3,53.9489,-115.1181,2351
CEV5,53.9372,-115.1678,2432
CMH5,50.0353,-110.7,2423
CFZ3,49.9722,-110.7172,2365
CYXH,50.0189,-110.7169,2351
CEW5,49.1333,-112.05,3449
CRK2,53.0789,-113.5008,2510
CFV3,59.4833,-119.0167,2000
CFW4,57.1375,-110.8842,2020
CNP6,55.9144,-117.1333,2050
CFB5,57.3833,-112.8,2560
CEG6,52.4914,-116.05,4411
CFU9,51.8014,-114.1167,3390
CFK6,51.8475,-114.0514,3330
CEA3,51.7108,-114.1006,3360
CED3,51.3342,-110.4839,2498
CYPE,56.2272,-117.4347,1872
CFT8,56.1608,-113.4672,2059
CPR8,49.4925,-113.9347,3754
CZPC,49.5206,-113.9847,3903
CHC4,52.6853,-113.5839,2676
CEH3,52.6519,-113.6003,2669
CFN6,55.3906,-111.1169,2304
CEH6,52.3381,-110.2678,2200
CYOP,58.4911,-119.4006,1757
CAD2,52.2697,-113.6847,3123
CAD3,52.3089,-113.8511,2936
CRE5,52.35,-113.9333,2856
CRD6,52.2778,-113.9014,3100
CRD5,52.2886,-113.9011,3100
CFR7,51.6514,-115.2339,4646
CRD3,52.2619,-113.8014,2877
CYQF,52.185,-113.8844,2968
CEH5,56.5461,-115.2675,1789
CRW8,53.9497,-113.1175,2083
CRW2,53.9192,-113.1003,2200
CRP3,53.8247,-113.1178,2081
