,lat,lon,alt
CSK5,46.895,-71.7858,582
CKT6,45.9917,-74.7497,950
CSL5,46.1183,-70.8892,1100
CYTQ,58.6678,-69.9558,121
CTB6,50.6744,-59.3836,112
CSM3,46.0522,-71.2575,1408
CYRQ,46.3517,-72.6806,199
CYMU,56.5361,-76.5183,251
CYOY,46.9028,-71.5036,550
CSQ3,45.4811,-72.3103,740
COR2,48.0775,-77.8686,1000
CYVO,48.0533,-77.7828,1105
CSR3,46.1108,-71.9317,487
CYKQ,51.4733,-78.7583,79
CYNC,53.0106,-78.8311,66
CSU5,47.9369,-73.8172,1171
