,lat,lon,alt
CPL3,45.1,-75.6333,743
CYAQ,53.5247,-88.6431,286
CZKE,52.2825,-81.6778,672
CPS2,44.25,-78.1167,35
CPV8,52.9911,-92.8364,650
CJG6,49.7686,-94.4989,990
CYQK,49.7883,-94.3631,1100
CCB8,43.4483,-79.9492,1344
CPT2,45.9775,-81.4947,895
CPU2,44.1875,-81.6244,608
CKS9,44.1175,-81.6983,700
CYKM,44.2014,-81.6056,675
CNM5,53.0125,-89.8553,772
CPJ7,44.2222,-76.4928,866
CRL9,44.3122,-76.5383,261
CYGK,44.2264,-76.5967,367
CKP4,44.49,-78.9778,303
CKD8,44.54,-78.8886,890
CYKX,48.2103,-79.9814,864
CYKF,43.4608,-80.3786,1157
CNK9,43.4528,-80.5036,1054
CJE9,45.1781,-79.6964,1109
CLA6,45.2,-74.3625,830
CYLH,52.1956,-87.9342,145
CLW3,43.9792,-80.1772,834
CLM2,42.0247,-82.525,1550
CNF4,44.3647,-78.7839,582
CPN5,43.7428,-80.9914,895
CNT4,45.9781,-81.9264,1232
CPN8,43.0981,-81.2344,625
CPR4,43.0131,-81.2744,794
CPW2,42.9592,-81.2256,875
CLC2,43.0683,-81.1256,935
CLW4,43.1058,-81.2339,912
CYXU,43.0331,-81.1511,960
CPS4,43.1633,-81.4125,1040
CMW4,45.5075,-77.9906,1052
CPU4,49.1281,-85.825,1199
CYMG,49.0833,-85.8611,870
CYEM,45.8425,-81.8575,995
CPV4,44.15,-80.0197,750
CPX2,48.7186,-86.3747,1032
CYSP,48.7572,-86.3458,1369
CPD9,44.315,-80.6553,990
CMW3,45.1639,-77.0844,566
CMA5,46.31,-78.7128,600
CMA2,46.2997,-78.7478,359
CMB7,45.2531,-74.8069,320
CMX2,45.2975,-74.85,675
CPA7,44.6069,-80.5989,735
CNM2,42.8242,-81.5486,775
CPW6,44.7417,-79.9144,773
CYEE,44.6847,-79.9294,687
CMH2,43.5322,-79.9028,663
CPY2,43.4986,-79.8678,1000
CPS5,51.6044,-88.5822,1095
CJA6,49.9714,-94.7011,675
CNW4,45.7389,-82.1667,905
CMI2,44.9247,-78.7294,40
CPN3,51.2492,-80.6172,30
CYMO,51.2919,-80.6083,254
CNS8,44.95,-75.0833,813
CWF3,42.9358,-81.4775,1365
CPA2,43.9742,-80.7375,1150
CHF5,48.4475,-89.5367,922
CYQA,44.975,-79.3039,911
CZMD,53.4414,-91.7628,796
CTN8,43.0464,-81.6031,1061
CYQN,50.1831,-86.6975,1195
CJA5,49.1403,-93.9169,895
CNV3,47.4944,-79.6917,502
CNT9,43.94,-78.445,650
CNG8,43.1058,-79.0919,576
CNF9,42.9994,-79.0633,589
CPQ3,43.1192,-79.0753,761
CKE9,49.0158,-88.2775,780
CNX8,42.8475,-80.3953,720
CNL7,45.4083,-80.0781,1039
CNR5,44.7283,-78.7506,715
CNB3,46.3347,-79.4958,1215
CYYB,46.3639,-79.4242,1082
CKQ3,52.49,-92.9711,531
CTM9,43.4489,-79.7636,920
COK3,44.3367,-78.9097,594
CYKP,51.6586,-85.9011,840
CME2,44.2856,-78.6275,1010
CKM8,52.6086,-90.3769,1520
CHW2,43.92,-80.0756,1550
CPV2,43.9586,-80.155,1620
COL2,43.9169,-80.2058,1500
COR8,43.9019,-80.0239,820
COP2,44.5844,-79.4289,725
CNJ4,44.6775,-79.3097,620
CHF4,43.9983,-78.6483,590
COR3,43.9728,-78.5894,272
CPK7,45.4011,-75.6503,265
CPP7,45.3917,-75.7206,258
CWH4,45.0881,-75.3544,384
CYRP,45.3225,-76.0222,216
CSF7,45.2997,-75.1714,325
CYDH,45.1306,-75.9483,230
CPR2,45.2411,-75.2986,377
CYOW,45.3225,-75.6672,315
CHF2,45.1906,-75.7086,280
CQH2,45.2992,-75.5,184
CYRO,45.4606,-75.6433,1040
CCK5,44.6347,-80.7458,794
CNK6,44.5681,-80.9133,1008
CYOS,44.5906,-80.8383,1300
CPA3,43.8383,-80.8419,642
CYG2,43.16,-81.7031,830
CNK4,45.2575,-79.8297,800
CRS2,45.3417,-80.0167,173
CYPO,54.9881,-85.4433,572
CYPT,41.7775,-82.6781,496
CNG5,45.8153,-77.1078,532
CYTA,45.8644,-77.2514,260
CNF3,45.4861,-75.0961,450
CNC9,44.9069,-76.2536,427
CNU3,44.3006,-78.3458,738
